Id,SalePrice
2658,129493.53080365926
2718,179617.8518527847
2414,220601.20542979758
1989,102106.07942295063
625,180894.20750100713
333,94801.9499437584
1327,105577.4597993037
858,192856.29083525238
95,180201.3918530526
1568,175024.1287835167
2482,174290.82447658363
1364,123146.77318758084
2584,133794.49275853607
818,271728.589794476
2673,152860.55352440098
2089,118291.92578193388
1297,143036.52064626577
790,107357.3886167545
2616,200301.20398031443
720,194629.14311034302
222,180437.17217907665
557,127845.40096007675
1148,204931.43919492082
2766,147038.04309375153
534,209092.35936759616
1452,135424.782684459
630,104763.65591689546
2648,153378.2980545567
125,162245.85116386757
1904,34228.404803935264
1670,104110.42713770934
756,84183.41898031795
717,226372.9134663269
1032,163205.20136591373
852,236398.6676020401
1731,187508.67960884882
2639,109995.45946194537
2071,67611.82884050507
1267,148184.44786410907
1851,194767.94743720023
567,181198.34554223728
2439,233960.6508160616
1898,160837.830726786
647,174225.93300079252
2256,249879.88699204632
979,105656.28134124228
1444,223606.0302789723
2485,115925.66176082939
157,124790.35177643102
88,123173.63947069118
2003,111446.40050622734
186,219237.2712343154
1425,251276.18856807222
2695,139040.43328489992
738,108616.03582627015
395,169802.52960375504
1353,169926.75120093639
1878,141929.11000177165
390,149616.77179605904
1456,221076.42205200234
1103,284419.27513731655
1387,95467.77429937344
2070,162493.46509716235
1199,171912.68157648388
2479,193521.66449614638
501,311595.6683873973
2362,83248.16302677209
1718,208035.71785263967
2188,108030.88781656136
1483,175671.94016704668
2557,90083.14269211222
437,344813.03989221406
2224,226015.0767132311
1628,182072.7199213155
397,143980.83894207486
587,190779.94747196202
2182,523029.62069705734
971,118420.98265014493
2611,147659.0940556944
1887,81306.70417318892
2399,331380.627822143
2148,223693.1945212346
304,97781.576278953
1997,142085.74729202094
2817,105760.38984090145
1431,213641.3621421273
427,306748.40463767835
263,124234.54251965182
598,169134.7970582386
2895,247324.93401778344
687,148335.54156928055
1822,157109.64712876768
2191,92437.32269242452
179,98280.75271862512
1009,212976.14561089373
2010,126983.3537795706
1991,143528.12536657118
1411,199078.64375963184
1721,240588.2890944031
1144,192706.26512523188
593,221280.2998133932
575,347175.0011921911
1249,202175.99140006368
1604,119404.53812114592
1064,395405.55849169387
1923,155803.44095541968
1988,153333.12196785293
2325,186725.5289841966
114,199783.890149421
