Id,SalePrice
2658,124474.41035267297
2718,183575.6060094529
2414,222122.65125996261
1989,104565.13778806648
625,180450.67457127574
333,99957.69468383987
1327,104979.17424604345
858,186533.36376040094
95,180443.73145283418
1568,173709.88057760373
2482,174046.2946156832
1364,124612.46285264155
2584,133767.9476441823
818,265618.6876260178
2673,155027.98008252584
2089,116740.08362915114
1297,141458.63806867786
790,108802.18771889711
2616,196866.4972845659
720,200839.46472549273
222,181231.7870038701
557,127992.9795241029
1148,203004.74121272645
2766,151377.2950275996
534,209342.67442054074
1452,132859.69166907558
630,113680.56119668367
2648,154427.04980274744
125,166051.5514858823
1904,35348.86661201084
1670,103957.3228755236
756,85171.60093481925
717,231329.7906711167
1032,162694.56445119897
852,238977.06183003535
1731,186232.63957682572
2639,111411.39593776039
2071,69596.02147302919
1267,143107.50935099198
1851,193531.36090174224
567,183425.68004077038
2439,239999.4145136645
1898,160707.31276431022
647,171975.1721459461
2256,248543.7175973045
979,107621.0958660383
1444,225812.5111191272
2485,113439.6397758748
157,126323.40061235246
88,122264.83410881607
2003,109567.47348595932
186,217558.6148569437
1425,252521.23212406872
2695,140446.03421275652
738,108641.87988413553
395,166613.25503424578
1353,167473.2485997673
1878,139633.61058053953
390,149479.1104613374
1456,222158.2987633183
1103,279047.49656131584
1387,95372.90171941646
2070,164967.7428631307
1199,170364.65963526757
2479,197177.99506594375
501,304341.097206937
2362,81077.00258904506
1718,204598.818812769
2188,109151.17092726269
1483,171261.5611284698
2557,92908.18013193978
437,338237.35863475467
2224,221759.0004713713
1628,186819.3896511587
397,142477.66672107825
587,194556.56160842444
2182,508829.37998179445
971,114060.31354996341
2611,147995.91419739227
1887,79363.20911105366
2399,326605.2779944213
2148,228640.1467767319
304,96446.2228397236
1997,149035.47645434103
2817,113929.56574346931
1431,211701.55218366676
427,309701.0885014207
263,120455.5894619788
598,174346.02740811987
2895,249065.59033473846
687,148420.1016300061
1822,157664.25727097475
2191,99675.53219446003
179,97428.81932283282
1009,212285.75071391152
2010,127036.03717633136
1991,145494.7286971792
1411,197200.54584376691
1721,240883.06929897884
1144,195803.8319274969
593,223391.37802474972
575,343175.5542851089
1249,200155.4697801843
1604,116040.04208660495
1064,389365.9971360146
1923,157018.74806890756
1988,151507.58310602722
2325,189270.25858855256
114,199123.75066104866
2700,169322.63142791268
217,126794.39464891843
343,182551.85238919934
386,224760.15021832768
2005,92308.99277008066
2908,136261.4486847254
1814,232414.50287758184
2446,445201.5614278013
208,185372.69933076896
1679,129346.07646959017
822,314972.22297260154
6,200404.84064324354
1781,340906.0675217073
2397,308204.26164066495
2340,273299.56887910084
